Domain,A Records,MX Records,WHOIS Info
atixis.com,213.186.33.17,0 atixis-com.mail.protection.outlook.com.,"RDAP Source: https://rdap.org/domain/atixis.com | Registration: 2012-06-06T19:04:13Z | Expiration: 2026-06-06T19:04:13Z | Last changed: 2025-09-11T08:49:41Z | Last update of rdap database: 2026-03-07T08:17:13Z | Registrar: OVH sas | Status: client delete prohibited, client transfer prohibited"
batixis.com,"165.160.13.20, 165.160.15.20",N/A,"RDAP Source: https://rdap.org/domain/batixis.com | Registration: 2007-10-25T13:26:14Z | Expiration: 2026-10-25T13:26:14Z | Last changed: 2025-10-21T05:09:52Z | Last update of rdap database: 2026-03-07T08:17:28Z | Registrar: CSC Corporate Domains, Inc. | Status: client transfer prohibited"
datixis.com,109.234.161.232,0 datixis.com.,RDAP Source: https://rdap.org/domain/datixis.com | Registration: 2021-01-29T11:20:34Z | Expiration: 2027-01-29T11:20:34Z | Last changed: 2023-03-17T15:00:36Z | Last update of rdap database: 2026-03-07T08:17:57Z | Registrar: Scaleway SAS | Status: client transfer prohibited
enatixis.com,"165.160.13.20, 165.160.15.20",N/A,"RDAP Source: https://rdap.org/domain/enatixis.com | Registration: 2006-10-31T15:06:18Z | Expiration: 2026-10-31T14:06:18Z | Last changed: 2025-10-27T05:12:46Z | Last update of rdap database: 2026-03-07T08:18:13Z | Registrar: CSC Corporate Domains, Inc. | Status: client transfer prohibited"
matixis.com,34.199.92.0,0 matixis-com.mail.protection.outlook.com.,"RDAP Source: https://rdap.org/domain/matixis.com | Registration: 2012-04-23T17:58:52Z | Expiration: 2026-04-23T17:58:52Z | Last changed: 2025-04-24T12:46:35Z | Last update of rdap database: 2026-03-07T08:19:59Z | Registrar: GoDaddy.com, LLC | Status: client delete prohibited, client renew prohibited, client transfer prohibited, client update prohibited"
na.tixis.com,"13.248.169.48, 76.223.54.146",N/A,N/A
naatixis.com,"165.160.13.20, 165.160.15.20",10 custmx.cscdns.net.,"RDAP Source: https://rdap.org/domain/naatixis.com | Registration: 2024-12-02T17:30:31Z | Expiration: 2026-12-02T17:30:31Z | Last changed: 2025-02-24T09:46:12Z | Last update of rdap database: 2026-03-07T08:24:45Z | Registrar: CSC Corporate Domains, Inc. | Status: client transfer prohibited"
nafixis.com,99.81.62.235,10 mail.nafixis.com.,"RDAP Source: https://rdap.org/domain/nafixis.com | Registration: 2024-09-17T13:24:11Z | Expiration: 2026-09-17T13:24:11Z | Last changed: 2025-08-13T13:28:12Z | Last update of rdap database: 2026-03-07T08:25:31Z | Registrar: Amazon Registrar, Inc. | Status: active"
naixis.com,217.160.0.244,"10 mx00.ionos.fr., 10 mx01.ionos.fr.",RDAP Source: https://rdap.org/domain/naixis.com | Registration: 2023-11-14T09:05:20Z | Expiration: 2026-11-14T09:05:20Z | Last changed: 2025-11-15T08:08:54Z | Last update of rdap database: 2026-03-07T08:26:01Z | Registrar: IONOS SE | Status: client transfer prohibited
nalixis.com,"165.160.15.20, 165.160.13.20",10 custmx.cscdns.net.,"RDAP Source: https://rdap.org/domain/nalixis.com | Registration: 2017-01-13T13:15:59Z | Expiration: 2027-01-13T13:15:59Z | Last changed: 2026-01-09T06:09:14Z | Last update of rdap database: 2026-03-07T08:26:31Z | Registrar: CSC Corporate Domains, Inc. | Status: client transfer prohibited"
namixis.com,62.210.16.61,0 mx-mibc-fr-03.mailinblack.com.,RDAP Source: https://rdap.org/domain/namixis.com | Registration: 2012-12-28T11:14:13Z | Expiration: 2026-12-28T11:14:13Z | Last changed: 2025-12-22T13:43:37Z | Last update of rdap database: 2026-03-07T08:26:46Z | Registrar: Gandi SAS | Status: client transfer prohibited
nat-ixis.com,128.204.223.42,10 mail13.serv00.com.,N/A
nataxis.com,"185.199.108.153, 185.199.109.153, 185.199.110.153, 185.199.111.153","0 smtp.secureserver.net., 10 mailstore1.secureserver.net.",N/A
natexis.com,N/A,"10 perseus.webnet.fr., 5 atlas.webnet.fr.","RDAP Source: https://rdap.org/domain/natexis.com | Registration: 1997-07-15T04:00:00Z | Expiration: 2026-07-14T04:00:00Z | Last changed: 2025-07-10T05:16:02Z | Last update of rdap database: 2026-03-07T08:32:03Z | Registrar: CSC Corporate Domains, Inc. | Status: client transfer prohibited"
natiggs.com,"23.21.157.88, 23.21.234.173",0 natiggs-com.mail.protection.outlook.com.,"RDAP Source: https://rdap.org/domain/natiggs.com | Registration: 2020-10-26T08:05:51Z | Expiration: 2026-10-26T08:05:51Z | Last changed: 2025-09-26T08:16:21Z | Last update of rdap database: 2026-03-07T08:15:12Z | Registrar: NameCheap, Inc. | Status: client transfer prohibited"
natiixis.com,"165.160.13.20, 165.160.15.20",10 custmx.cscdns.net.,N/A
natilis.com,N/A,N/A,RDAP Source: https://rdap.org/domain/natilis.com | Registration: 2022-11-18T16:38:11Z | Expiration: 2026-11-18T16:38:11Z | Last changed: 2025-11-12T13:49:33Z | Last update of rdap database: 2026-03-07T08:16:27Z | Registrar: Nics Telekomunikasyon A.S. | Status: active
