title,url,abstract,date
Natixis in Portugal | LinkedIn,https://www.linkedin.com/company/natixis-in-portugal/,"Locations · Primary. Porto, Lisboa. Porto, Lisboa, PT. Get directions · Rua Santos Pousada, 220. Porto, Porto 4000-478, PT. Get directions · Rua Adão Manuel ...",2026-03-06 09:39:17
Asia's big economies brace for Iran war energy shock | Alicia Garcia ...,https://www.linkedin.com/posts/aliciagarciaherrero_asias-big-economies-brace-for-iran-war-energy-activity-7435530499525115905-uYkJ,"Chief Economist for Asia Pacific at Natixis. 22m. Report this post; Close menu. Some thoughts for Financial Times: ""The situation is terrible ...",2026-03-06 09:39:17
Alicia Garcia-Herrero 艾西亞 - china - LinkedIn,https://www.linkedin.com/posts/aliciagarciaherrero_china-activity-7435606264061128705-CHSX,"Chief Economist for Asia Pacific at Natixis. 58m. Report this post; Close menu. Research with Jianwei Xu, Gary Ng and Haoxin Mu on #China's ...",2026-03-06 09:39:17
Agree The result is that we should forget about rebalancing!. - LinkedIn,https://www.linkedin.com/posts/joerg-wuttke-8a10ab8_agree-the-result-is-that-we-should-forget-activity-7435777283543552000-Qoz6,"Chief Economist for Asia Pacific at Natixis. 12h. For #China's #work #report issued yesterday, the market has focused on a lower #GDP #growth ...",2026-03-06 19:39:17
#impactinvesting #venturecapital #impact #startups | Melody Clarard,https://www.linkedin.com/posts/melodyclarard_impactinvesting-venturecapital-impact-activity-7435619984564744192-ZLKP,Edgar Sayanoff. Sales Assistant at Natixis Investment Managers I IESEG School of Management. 8h. Report this comment; Close menu. Congrats and ...,2026-03-06 09:39:17
Mirova's Post - LinkedIn,https://www.linkedin.com/posts/mirova_privatecapital-blendedfinance-naturalcapital-activity-7435670562737115136-2IL8,"Last week, we were delighted to host an insightful lunch in partnership with Natixis Investment Managers, bringing together investors and ...",2026-03-06 12:39:17
Alice Heathcote's Post - LinkedIn,https://www.linkedin.com/posts/alice-v-heathcote_excited-to-see-this-milestone-announced-today-activity-7435423676486877185-en4t,Excited to see this milestone announced today. Huge credit to the Origis team and our financing partners Natixis CIB and Santander for their ...,2026-03-05 09:39:17
Dr. Abhishek D.'s Post - LinkedIn,https://www.linkedin.com/posts/abhishekgdeshpande_oil-singapore-iran-activity-7435290476620034050-Q7Vq,"Dr. Abhishek D. Board Member | Managing Director at NextEra Energy Inc. | Alum of J.P.Morgan, Natixis, ADNOC, OMV AG | INSEAD MBA ...",2026-03-05 09:39:17
Daniela Velandia Godoy - Director -Loan Syndications - Natixis,https://www.linkedin.com/in/daniela-velandia-godoy-2749122a,The aim of the Bucerius Summer School is to foster leadership qualities among young professionals by opening a cross-border dialogue.,2026-03-03 09:39:17
US vs China Manufacturing Debate with Sam D'Amico and Aaron ...,https://www.linkedin.com/posts/ti-morse_the-us-vs-china-manufacturing-debate-just-activity-7433204754664660993-NtZl,"... Chief Economist for Asia Pacific at Natixis. 3w. Report this post; Close menu. My TV interview with Asharq Business اقتصاد الشرق: ""The stumbling ...",2026-03-07 09:39:17
Learning Expedition Natixis CIB x ESSEC - LinkedIn,https://www.linkedin.com/posts/natixis-corporate-investment-banking_learning-expedition-natixis-cib-x-essec-activity-7430542041589317633-6cSi,... Learning Expedition Natixis CIB x ESSEC: a tailor-made experience! Natixis Corporate & Investment Banking was pleased to welcome 60 students ...,2026-03-07 09:39:17
Natixis CIB in London! - Investment Banking - LinkedIn,https://www.linkedin.com/posts/natixis-corporate-investment-banking_natixis-cib-in-london-activity-7429902170315001856-JV9g,... Meet Natixis Corporate & Investment Banking in London: A team with global knowledge and local impact! From Global Markets activities to ...,2026-03-07 09:39:17
#natixisimculture #yearofthehorse #lunarnewyear - LinkedIn,https://www.linkedin.com/posts/natixis-investment-managers_natixisimculture-yearofthehorse-lunarnewyear-activity-7429042036311379968-G9v6,"... Happy Lunar New Year! Natixis Investment Managers wish you good health, happiness and prosperity in the Year of the Horse!",2026-03-07 09:39:17
#yearofthehorse #csr | Natixis Corporate & Investment Banking,https://www.linkedin.com/posts/natixis-corporate-investment-banking_yearofthehorse-csr-activity-7427913570656440320-2BrP,... Happy Lunar New Year from Natixis Corporate & Investment Banking! Like or share* this post to support the important humanitarian mission of ...,2026-03-07 09:39:17
Laurent Nittler's Post - LinkedIn,https://www.linkedin.com/posts/laurent-nittler-72a52295_natixis-corporate-investment-banking-is-activity-7428099453913534464-Myts,... Natixis Corporate & Investment Banking is present in 30 countries around the world Our mission is to be your strategic partner that ...,2026-03-07 09:39:17
Natixis Corporate & Investment Banking's Post - LinkedIn,https://www.linkedin.com/posts/natixis-corporate-investment-banking_natixis-corporate-investment-banking-activity-7425526491158917120-HU8m,... Natixis Corporate & Investment Banking is delighted to have acted as bookrunner for NextEra Energy Resources' EUR 1.3bn and USD 1.3bn senior ...,2026-03-07 09:39:17
Laurent Nittler's Post - LinkedIn,https://www.linkedin.com/posts/laurent-nittler-72a52295_natixis-corporate-investment-banking-activity-7422960545881833472-CCrT,"... Natixis Corporate & Investment Banking has launched its first Social Charity Green Bond in CNH, valued at CNH 500 million.",2026-03-07 09:39:17
